Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
Grupa w¹tków:85 /a/f/jpeg/36232/planeta_203.jpeg,5,120,95,144,"20,41","0,00%","2,0","36,26","18743,0"
Grupa w¹tków:74 /a/f/jpeg/28443/pap_szkola_pusta_klasa_388.jpeg,5,199,126,242,"41,77","0,00%","2,0","63,91","32997,0"
Grupa w¹tków:87 /a/f/jpeg/28460/wp_sad_akta_gadomski_203.jpeg,5,243,208,344,"52,19","0,00%","2,0","77,35","39871,0"
Grupa w¹tków:97 /a/f/jpeg/36212/kaczynski_smiech_xnews_140.jpeg,5,51,42,61,"7,11","0,00%","2,1","10,19","4965,0"
Grupa w¹tków:97 /a/f/jpeg/36211/miller_pap_140.jpeg,5,85,72,101,"12,11","0,00%","2,1","22,57","11143,0"
Grupa w¹tków:75 /a/f/jpeg/36241/pap_epa_moldawia_203.jpeg,5,218,194,264,"24,15","0,00%","1,9","65,05","34254,0"
Grupa w¹tków:106 /a/f/jpeg/33057/blisko_slawomir_mrowinski_wspsz_pz_140.jpeg,5,127,89,172,"28,17","0,00%","2,0","30,64","15526,0"
Grupa w¹tków:94 /a/f/jpeg/36242/saka_140.jpeg,5,192,131,240,"40,68","0,00%","1,9","44,13","23372,0"
Grupa w¹tków:104 /a/f/jpeg/33627/mcdonalds_afp140.jpeg,5,68,46,137,"34,38","0,00%","2,0","13,31","6967,0"
Grupa w¹tków:95 /a/f/jpeg/36241/wp_zaremba_140.jpeg,5,63,53,85,"11,46","0,00%","1,9","11,20","5953,0"
Grupa w¹tków:103 /a/f/jpeg/33659/epa_wlochy_ulica_architektura_140.jpeg,5,119,44,329,"106,63","0,00%","1,9","14,68","7869,0"
Grupa w¹tków:105 /a/f/jpeg/33078/tvn_140.jpeg,5,63,38,107,"22,98","0,00%","2,0","13,31","6838,0"
Grupa w¹tków:80 /a/f/jpeg/33179/separatysci_ukraina_afp203.jpeg,5,499,358,815,"168,36","0,00%","1,7","123,18","75705,0"
Grupa w¹tków:99 /a/f/jpeg/33463/kajdanki_zatrzymanie_kobieta_policja140.jpeg,5,231,136,502,"136,30","0,00%","1,8","46,45","26762,0"
Grupa w¹tków:96 /a/f/jpeg/36233/pis_eastnews_140.jpeg,5,61,45,92,"16,55","0,00%","1,8","11,06","6134,0"
"Grupa w¹tków:86 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM5L3BpczIwMy5qcGVnO3FeMC45O2NedHJ1ZTtzY150cnVlO3ReanBnO3Ned2lhZG9tb3NjaTtmdF4x.jpg",5,60,39,70,"10,97","0,00%","1,9","19,78","10903,0"
"Grupa w¹tków:108 /a/i/stg/692,xgemius.js",5,61,44,102,"20,98","0,00%","1,9","10,18","5561,0"
"Grupa w¹tków:89 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM4L25qMjAzLmpwZWc7cV4wLjk7Y150cnVlO3NjXnRydWU7dF5qcGc7c153aWFkb21vc2NpO2Z0XjE=.jpg",5,566,48,1321,"612,79","0,00%","1,4","14,50","10510,0"
Grupa w¹tków:107 /pliki/753_20160123143.js,5,55,31,69,"13,76","0,00%","1,4","8,62","6269,0"
Grupa w¹tków:117 /RM/Box/c/b/adrail/rail-multi-1.4.4a.js,5,132,98,164,"22,21","0,00%","1,4","12,77","9409,0"
Grupa w¹tków:118 /,5,104,84,115,"11,58","0,00%","1,4","7,48","5426,4"
Grupa w¹tków:123 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1709948930/x05/OasDefault/WP_GoogleADX_Finansowe_all_3_rectangle/adM2.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","1,5","1,73","1217,0"
Grupa w¹tków:119 /a/i/wiadomosci/rebrand/google_red.png,5,43,37,49,"4,18","0,00%","1,4","1,82","1300,0"
Grupa w¹tków:121 /a/i/wiadomosci/rebrand/ic_pogoda.png,5,93,61,127,"23,83","0,00%","1,4","16,16","11747,0"
Grupa w¹tków:125 /a/i/wiadomosci/2011/kreska.gif,5,48,27,62,"12,53","0,00%","1,4","2,02","1434,0"
"Grupa w¹tków:90 /r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2MjM1L2ltaWdyYW5jaV9hZnAyMDMuanBlZztxXjAuOTtjXnRydWU7c2NedHJ1ZTt0XmpwZztzXndpYWRvbW9zY2k7ZnReMQ==.jpg",5,408,62,1310,"457,70","0,00%","1,4","12,40","9070,0"
Grupa w¹tków:126 /a/i/wiadomosci/2011/dotts.gif,5,49,37,61,"10,37","0,00%","1,9","2,64","1427,0"
Grupa w¹tków:127 /a/i/wiadomosci/2011/li_dot.gif,5,44,28,69,"14,26","0,00%","1,9","2,66","1428,0"
Grupa w¹tków:124 /a/i/wiadomosci/2011/sprites.png,5,40,28,57,"9,39","0,00%","1,9","2,05","1098,0"
Grupa w¹tków:122 /a/i/wiadomosci/rebrand/sprite.png,5,75,36,105,"22,22","0,00%","1,9","30,59","16748,0"
Grupa w¹tków:120 /i/ivar/layout/201201/gwp_s.png,5,117,85,148,"26,94","0,00%","1,8","42,14","23450,0"
Grupa w¹tków:128 /a/i/wiadomosci/2011/helvetica45regular-webfont.woff,5,215,97,398,"125,34","0,00%","1,9","36,40","19988,0"
Grupa w¹tków:129 /redir,5,250,117,636,"195,14","0,00%","1,8","3,98","2233,0"
Grupa w¹tków:130 /tag/js/gpt.js,5,50,39,84,"16,81","0,00%","1,9","3,47","1884,0"
Grupa w¹tków:131 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/212040073/x29/OasDefault/BusinessClick_Wiadomosci_boks29/2boksy-028.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","1,9","2,31","1215,0"
Grupa w¹tków:132 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1029735449/x34/OasDefault/WP_GoogleADX_Finansowe_all_3_rectangle/5230661.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","1,9","2,32","1220,0"
Grupa w¹tków:134 /a/i/wiadomosci/2011/opacity70.png,5,44,31,56,"8,96","0,00%","1,9","0,80","426,0"
Grupa w¹tków:135 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1806500843/x37/OasDefault/WP_GoogleADX_Finansowe_all_3_msky/5230662.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","1,9","2,30","1215,0"
Grupa w¹tków:133 /awrapper,5,162,100,290,"67,43","0,00%","1,8","10,66","5997,2"
Grupa w¹tków:140 /18710/aca044db3847e45d5ab0b4afbd474725/57586d6c6d3921e854071cf783dfa36e.jpeg,5,55,23,87,"21,64","0,00%","2,0","8,60","4372,2"
Grupa w¹tków:138 /18136/95fe7238408b7340ec21ef276246a21f/c1f33653fb579cb6857d09c181f3fe5f.jpg,5,101,60,198,"50,60","0,00%","2,0","29,69","15365,2"
Grupa w¹tków:142 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/1888311343/x18/OasDefault/WP_GoogleADX_Finansowe_all_3_rectangle/adM2584638.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","2,0","2,42","1223,0"
Grupa w¹tków:141 /mailing/,5,53,40,63,"8,87","0,00%","2,0","0,56","290,2"
Grupa w¹tków:139 /18299/7a15e647f00037503727555362641937/b491b4d320a541a7db2cfcbf0cc9d5d6.png,5,184,85,362,"104,86","0,00%","2,0","77,32","40539,2"
Grupa w¹tków:137 /ii/pl_pl/_7931/200x100/200x100ron/5d45320f/pfnzm/,5,0,0,1,"0,49","100,00%","2,2","4,41","2089,0"
Grupa w¹tków:143 /a/i/wiadomosci/2011/ico_star.png,5,48,28,82,"20,79","0,00%","2,1","1,85","890,0"
Grupa w¹tków:145 /a/i/wptv3/sprites/minimal_age_icon.png,5,55,41,77,"12,38","0,00%","2,2","8,61","4098,0"
Grupa w¹tków:136 /bs/,5,92,79,106,"10,03","0,00%","2,1","1,43","690,0"
Grupa w¹tków:146 /redir,5,115,87,140,"18,88","0,00%","2,1","4,54","2229,0"
Grupa w¹tków:149 /,5,65,60,73,"6,37","0,00%","2,1","1,48","716,2"
Grupa w¹tków:144 /redir,5,154,102,249,"52,21","0,00%","2,0","4,45","2229,0"
Grupa w¹tków:150 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L27/492769225/x28/OasDefault/BusinessClick_Wiadomosci_boks28/2boksy-028.html/572b63595731616a6851454144755847,5,0,0,0,"0,00","100,00%","2,3","2,70","1215,0"
Grupa w¹tków:148 /redir,5,211,98,526,"160,60","0,00%","2,2","4,74","2229,0"
Grupa w¹tków:152 /a/i/wiadomosci/box-reporter-header.png,5,44,37,58,"7,19","0,00%","2,8","11,14","4115,0"
Grupa w¹tków:153 /a/i/wiadomosci/box-reporter-bg.png,5,166,89,333,"87,17","0,00%","2,7","46,01","17367,0"
Grupa w¹tków:151 /awrapper,5,122,94,176,"28,62","0,00%","2,8","14,51","5378,4"
Grupa w¹tków:155 /arrow-3.png,5,42,24,79,"20,38","0,00%","3,0","1,98","673,2"
Grupa w¹tków:154 /18414/a56a82fee3e14e4b9f2a35d47c25c24c/1368e0017860f1e7bfeac8b67a5263ab.jpeg,5,53,40,66,"8,98","0,00%","3,0","20,54","6982,2"
Grupa w¹tków:156 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L-27/1500402189/x06/OasDefault/92747_208301_Suzuki_naglowek_tapeta_wiadomosci_03/78635_190153_wiadomosci_bosh_nagltap_01a1620656620657624099626059626388642578646124648883.html/572b63595731616a6851454144755847,5,39,32,53,"7,14","0,00%","3,0","1,46","492,0"
Grupa w¹tków:158 /r0047775077/show.gif,5,80,58,103,"18,36","0,00%","3,0","5,06","1701,0"
Grupa w¹tków:157 /pages/scripts/0011/6469.js,5,65,55,73,"6,60","0,00%","3,1","1,45","478,0"
Grupa w¹tków:159 /Uk0vQm94LzIwMTYtMDEvX21pcmVrLzEz/moto_naglowek_1920x142_v2.jpg,5,1,1,1,"0,00","100,00%","3,2","6,61","2089,0"
Grupa w¹tków:160 /g/fsc.gif,5,43,30,59,"11,57","0,00%","3,1","1,39","453,4"
Grupa w¹tków:147 /as/ADX_nowy_brakkodu.html,5,0,0,1,"0,40","100,00%","3,3","6,64","2089,0"
Grupa w¹tków:162 /RM/ads/adstream_lx.ads/wiadomosci.wp.pl/index.html/L-27/813839103/x10/OasDefault/93373_209668_QuismaHollywood_box1/quisma10.html/572b63595731616a6851454144755847,5,72,69,80,"3,76","0,00%","3,1","1,48","492,0"
Grupa w¹tków:163 /adi/9742/9976/59417,5,0,0,1,"0,40","100,00%","3,2","6,59","2089,0"
Grupa w¹tków:161 /Uk0vQm94LzIwMTYtMDEvX21pcmVrLzA3/tapeta_1920x1200.jpg,5,1736,284,3851,"1383,40","0,00%",",9","94,85","104959,0"
Grupa w¹tków:164 /ul_cb/adi/9742/9976/59417,5,107,91,129,"13,62","0,00%","1,0","1,61","1719,0"
Grupa w¹tków:167 /push_sync,5,59,51,68,"6,97","0,00%","1,0","0,32","334,0"
Grupa w¹tków:166 /ai.aspx,5,280,95,688,"229,35","0,00%",",9","1,22","1369,6"
Grupa w¹tków:165 /file/63bf937ebfce1a659667f717d0ad6c36.png,5,0,0,1,"0,49","100,00%",",9","1,90","2089,0"
Grupa w¹tków:168 /sync,5,61,48,100,"19,67","0,00%",",9","0,48","530,8"
Grupa w¹tków:169 /tagr/v1/imp,5,397,93,1535,"568,80","0,00%",",9","0,57","628,2"
Grupa w¹tków:170 /tagr/v1/sync,5,50,45,57,"4,10","0,00%",",9","0,57","628,0"
Grupa w¹tków:171 /ul_cb/sync,5,51,39,75,"12,59","0,00%",",9","0,35","380,0"
Grupa w¹tków:172 /pixel,5,212,135,428,"108,59","0,00%",",9","2,07","2302,0"
Grupa w¹tków:173 /pixel,5,146,90,345,"99,22","0,00%",",9","1,18","1302,0"
Grupa w¹tków:175 /a/i/stg/500/wpsocial_1.3.0.css,5,52,34,91,"21,51","0,00%","1,0","3,53","3656,0"
Grupa w¹tków:177 /en_US/fbevents.js,5,57,45,67,"7,86","0,00%","1,0","3,74","3900,8"
Grupa w¹tków:178 /gather,5,74,56,102,"16,38","0,00%","1,0","0,86","896,0"
Grupa w¹tków:179 /scripts/retargeting.js,5,65,60,73,"5,19","0,00%","1,0","7,13","7419,0"
Grupa w¹tków:180 /scripts/btest/advertisement.js,5,128,50,383,"127,68","0,00%","1,0","0,28","293,0"
Grupa w¹tków:176 /pl_PL/sdk.js,5,157,141,181,"13,28","0,00%","1,0","50,01","53414,2"
Grupa w¹tków:182 /getCookie/,5,63,55,74,"6,41","0,00%","1,0","1,08","1129,0"
Grupa w¹tków:181 /scripts/bcookie/BCookie.swf,5,145,49,475,"164,84","0,00%","1,0","2,07","2174,0"
Grupa w¹tków:183 /connect/xd_arbiter.php,5,214,146,444,"115,28","0,00%","1,0","31,74","33852,0"
Grupa w¹tków:184 /api/tagUser/,5,58,53,60,"2,61","0,00%","1,0","0,72","750,6"
Grupa w¹tków:185 /insertProbe?v=3.0,4,63,55,80,"10,03","0,00%","1,0","0,46","493,5"
Grupa w¹tków:186 /serving/cookie/match/,4,300,217,372,"60,28","0,00%",",9","0,86","992,0"
Grupa w¹tków:189 /_1453557646106/rexdot.js,4,111,88,127,"14,75","0,00%",",9","1,18","1311,0"
Grupa w¹tków:1 /,3,493,304,694,"159,42","0,00%",",9","41,67","45684,7"
Grupa w¹tków:4 /r/collect,3,51,39,75,"16,97","0,00%","1,1","0,39","373,0"
Grupa w¹tków:6 /rgr.html,3,45,40,50,"4,08","0,00%","1,1","0,99","945,7"
Grupa w¹tków:3 /bar.gif,3,36,28,47,"7,93","0,00%","1,1","0,68","642,0"
Grupa w¹tków:5 /,3,340,282,392,"45,15","0,00%","1,0","18,85","19485,0"
Grupa w¹tków:2 /r0598324501/dot.gif,3,90,67,102,"16,27","0,00%","1,1","2,26","2120,0"
Grupa w¹tków:7 /bar.gif,3,1,1,1,"0,00","100,00%","1,1","2,30","2089,0"
Grupa w¹tków:9 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/36029094/x90/OasDefault/WP_InfinityBokx_kodsterujacy/4743833.html/572b63595731616a6851454144755847,3,0,0,0,"0,00","100,00%","1,1","1,32","1201,0"
Grupa w¹tków:10 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L9/1176008870/x32/OasDefault/PustyPontencjal_ROS_boks32/zliczenie_pustego_boks32.html/572b63595731616a6851454144755847,3,0,0,0,"0,00","100,00%","1,1","1,33","1217,0"
Grupa w¹tków:8 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/15216419/x91/OasDefault/WP_InfinitySky_kodsterujacy/4743833.html/572b63595731616a6851454144755847,3,0,0,0,"0,00","100,00%","1,1","1,32","1200,0"
Grupa w¹tków:11 /g/fsc.gif,3,45,39,53,"5,89","0,00%","1,1","0,49","455,0"
Grupa w¹tków:12 /Uk0vQm94LzIwMTYtMDEvcnAvOTM0MTkvMjAuMDE=/wp_dd_158x91_21012016.jpg,3,1,1,1,"0,00","100,00%","1,1","2,30","2089,0"
Grupa w¹tków:14 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/457449643/x86/OasDefault/3419_209830_BONPRIX_kafelek_StylZycia_DD/92-hairmastic583682595689595695597368599246602007607278607281607283607341629344643469643475645391645393649429651085.html/572b63595731616a6851454144755847,3,77,73,81,"3,40","0,00%","1,1","0,53","492,0"
Grupa w¹tków:13 /Uk0vQm94LzIwMTYtMDEvcnAvOTM0MTkvMjEuMDE=/wp_dd_158x91_21012016.jpg,3,236,144,410,"122,66","0,00%","1,1","13,94","13337,0"
Grupa w¹tków:16 /r1121918215/show.gif,3,242,80,537,"208,72","0,00%","1,1","1,76","1653,0"
Grupa w¹tków:19 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1172023521/x84/OasDefault/80270_182170_wp_sg_link_sport_kafelek_diety/80058_181732_sg_purehealth_link-sport-kafel_01a2602698650217.html/572b63595731616a6851454144755847,3,80,67,96,"11,90","0,00%","1,3","0,63","492,0"
Grupa w¹tków:15 /Uk0vQm94LzIwMTUtMTIvX2Jhc3NrYS8xMjE=/158x292_sale.jpg,3,1,1,1,"0,00","100,00%","1,4","2,76","2089,0"
Grupa w¹tków:17 /Uk0vQm94LzIwMTUtMTIvX2Jhc3NrYS8xNDU=/158x292_z-domu_antena.jpg,3,115,98,149,"23,81","0,00%","1,3","16,09","12996,0"
Grupa w¹tków:18 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1350583719/x85/OasDefault/93419_209829_BONPRIX_kafelek_Finanse_DD/92-hairmastic583682595689595695597368599246602007607278607281607283607341629344643469643475645391645393649429.html/572b63595731616a6851454144755847,3,89,78,112,"15,80","0,00%","1,3","0,61","492,0"
Grupa w¹tków:22 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/796746306/x27/OasDefault/84701_209539_NCplus_SG-wp_geobox_01/847011626949645464645465645466647254650333.html/572b63595731616a6851454144755847,2,85,85,85,"0,00","0,00%","1,5","0,71","492,0"
Grupa w¹tków:21 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/367148523/x81/OasDefault/94045_211396_sg_archicom_linkRegio_01/94045_211396_sg_archicom_linkRegio_01a5.html/572b63595731616a6851454144755847,2,77,63,91,"14,00","0,00%","1,5","0,73","492,0"
Grupa w¹tków:20 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1135066478/x82/OasDefault/93505_210039_Sport_zaslepka_linktxt_01/2100391648345650916.html/572b63595731616a6851454144755847,2,77,74,81,"3,50","0,00%","1,5","0,73","492,0"
Grupa w¹tków:23 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1450252604/x21/OasDefault/92914_208682__Denley_SG-wp_geobox_2/2063531644344644346644347645438645440645441650258.html/572b63595731616a6851454144755847,2,80,66,95,"14,50","0,00%","1,5","0,73","492,0"
Grupa w¹tków:24 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1311665762/x13/OasDefault/92418-199099_Lidl_wpbox_Finanse_23-01/175975_LIDL_wpbox-finanse_1_IV_01599947603368604459619646626285628198651050651051.html/572b63595731616a6851454144755847,2,84,78,90,"6,00","0,00%","1,5","0,74","492,0"
Grupa w¹tków:25 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/944324183/x11/OasDefault/94306_211902_Komfort_sg_wpbox11_01/2119021.html/572b63595731616a6851454144755847,2,78,70,86,"8,00","0,00%","1,5","0,73","492,0"
Grupa w¹tków:26 /Uk0vQm94LzIwMTYtMDEvX2tqL2tvbWZvcnQyLzMzMA==/komfort_wyprzedaz_330x170.html,2,1,1,1,"0,00","100,00%","1,6","3,31","2089,0"
Grupa w¹tków:27 /Uk0vQm94LzIwMTYtMDEvamVqby85NDI3NGxvcmVt/72letnia1a.jpg,2,715,44,1386,"671,00","0,00%","1,4","17,01","12068,0"
Grupa w¹tków:36 /Uk0vQm94LzIwMTUtMTIvcnAvOTE3MjcvMTUuMTI=/158x120_PL_txf_snakersy_vr_140930_1512.jpg,2,90,60,121,"30,50","0,00%","8,9","133,45","15373,0"
Grupa w¹tków:30 /Uk0vQm94LzIwMTYtMDEvamVqby85MzUxNGdlbw==/v2_baner3-158x292.jpg,1,88,88,88,"0,00","0,00%","11,4","253,22","22818,0"
Grupa w¹tków:34 /Uk0vQm94LzIwMTYtMDEvbWIvOTMzMTg=/322x191.gif,1,239,239,239,"0,00","0,00%","4,2","93,06","22776,0"
RAZEM,1954,115,0,3851,"181,01","9,31%","41,8","405,12","9928,1"
